排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
32,纳米银,BK0855,2728.26,24.24,0.9,95975011000,7.1,2,5,有棵树,15.5
33,油气设服,BK0606,2521.3,20.81,0.83,2362393760000,3.44,28,24,中曼石油,9.99
34,国资云概念,BK1008,1750.72,14.18,0.82,436884128000,3.94,8,11,美利云,10.03
35,培育钻石,BK1023,2432.04,19.48,0.81,250978971000,6.09,9,7,中国黄金,9.98
36,中药概念,BK0615,2485.36,19.2,0.78,2118373776000,3.43,99,42,特一药业,10.01
37,维生素,BK0895,2202.64,16.73,0.77,525748688000,3.68,19,14,新赣江,6.91
38,腾讯云,BK1189,1158.12,8.6,0.75,685163040000,5.23,13,10,锐捷网络,12.96
39,阿兹海默,BK0894,2196.38,15.64,0.72,221028961000,4.91,10,9,鲁抗医药,10.0
40,毛发医疗,BK0996,1073.77,7.38,0.69,128698170000,4.31,9,8,特一药业,10.01
41,页岩气,BK0603,3084.1,20.5,0.67,3170734432000,1.15,17,14,通源石油,13.04
42,转基因,BK0907,1647.18,9.99,0.61,165546045000,3.93,9,7,农发种业,3.98
43,盲盒经济,BK0954,1563.31,9.48,0.61,145125855000,6.57,5,7,顺网科技,11.18
44,磷化工,BK1010,1099.85,6.43,0.59,1385561376000,3.87,26,19,澄星股份,10.01
45,免疫治疗,BK0698,1709.64,9.74,0.57,522828864000,3.55,25,18,达安基因,10.05
46,昨日触板,BK0817,34.99,0.2,0.57,420399776000,7.96,15,12,天奇股份,9.98
47,啤酒概念,BK1073,1370.64,7.51,0.55,279572432000,2.78,9,9,莱茵生物,9.05
48,供销社概念,BK1109,1249.66,6.88,0.55,166709576000,2.12,8,5,中农联合,10.01
49,汽车拆解,BK0943,1401.19,7.46,0.54,292896256000,3.31,10,7,天奇股份,9.98
50,稀土永磁,BK0578,3897.05,20.07,0.52,1544748432000,5.02,23,32,卧龙新能,9.97
51,东数西算,BK1064,1961.97,9.56,0.49,1388577760000,4.5,29,35,大位科技,10.02
52,粮食概念,BK1086,874.58,3.72,0.43,260185064000,3.64,20,9,农发种业,3.98
53,创新药,BK1106,1602.14,6.72,0.42,3693718624000,3.4,87,73,鲁抗医药,10.0
54,草甘膦,BK0950,1980.29,7.47,0.38,218876665000,4.24,6,7,中农联合,10.01
55,AH股,BK0499,9832.63,35.37,0.36,41934102528000,0.88,96,73,长飞光纤,10.0
56,煤化工,BK0492,12316.45,44.14,0.36,2991641280000,2.7,41,28,广汇能源,5.73
57,合成生物,BK1174,1458.92,5.15,0.35,1545699440000,4.49,57,58,鲁抗医药,10.0
58,上证50_,BK0611,2189.45,7.47,0.34,28631162880000,0.53,26,23,洛阳钼业,8.35
59,中特估,BK1139,1279.11,3.45,0.27,25252993536000,0.69,50,26,中金黄金,10.0
60,券商概念,BK0711,1230.99,3.18,0.26,4343789568000,1.71,33,17,财通证券,4.3
61,昨日涨停_含一字,BK1050,15884.22,36.24,0.23,2387948816000,10.74,55,62,拓日新能,10.07
62,消毒剂,BK0913,1894.52,4.23,0.22,819284640000,4.86,29,28,鲁抗医药,10.0
63,锂矿概念,BK1173,2192.74,4.6,0.21,4299896320000,4.48,16,23,威领股份,10.0
64,上证180_,BK0612,1794.84,3.55,0.2,50031336960000,0.9,96,80,中金黄金,10.0
65,减肥药,BK1146,1351.79,2.59,0.19,978365024000,2.85,14,20,智飞生物,14.87
66,参股期货,BK0524,35206.76,61.39,0.17,3362008080000,2.01,25,19,云南铜业,6.98
67,证金持股,BK0718,1547.48,2.26,0.15,38755250432000,1.03,113,101,达安基因,10.05
68,天然气,BK0843,1844.91,2.8,0.15,5991531776000,1.76,62,61,光正眼科,10.02
69,昨日涨停,BK0815,30116.94,35.48,0.12,2305869728000,10.66,52,61,拓日新能,10.07
70,农业种植,BK0888,2692.79,1.79,0.07,879830576000,3.62,43,40,中农联合,10.01
71,中字头,BK0505,10093.58,7.49,0.07,16666302720000,1.12,50,50,中国黄金,9.98
72,医疗美容,BK0889,1997.28,1.27,0.06,1163876128000,2.92,39,35,光正眼科,10.02
73,HS300_,BK0500,12755.85,0.0,0.0,67658544640000,1.1,146,149,中金黄金,10.0
74,SPD概念,BK1147,1271.06,-0.89,-0.07,113526948000,5.32,7,6,华人健康,4.59
75,破净股,BK1112,1566.8,-1.02,-0.07,20298368000000,0.95,115,117,东方生物,12.36
76,生态农业,BK0669,1681.17,-1.94,-0.12,334397584000,3.7,20,17,顺灏股份,2.97
77,超超临界发电,BK1087,1557.48,-2.11,-0.14,1349005920000,2.35,22,25,华电科工,10.05
78,生物质能发电,BK1098,1139.37,-1.71,-0.15,259709406000,2.13,15,11,民和股份,2.62
79,CPO概念,BK1128,5377.92,-9.06,-0.17,3073293040000,5.7,18,29,长飞光纤,10.0
80,动力电池回收,BK1052,1077.06,-1.99,-0.18,2840701648000,4.25,15,28,天奇股份,9.98
81,噪声防治,BK1082,1779.81,-3.72,-0.21,51029372000,4.87,3,6,德尔股份,5.93
82,医废处理,BK0914,1429.67,-3.0,-0.21,238582845000,2.33,14,16,华康洁净,2.6
83,工业大麻,BK0856,2202.17,-4.54,-0.21,447731072000,3.47,17,20,莱茵生物,9.05
84,乳业,BK0892,1207.44,-2.77,-0.23,452416064000,2.43,11,19,科拓生物,3.71
85,绿色电力,BK1024,1330.28,-3.48,-0.26,5938318848000,2.11,51,88,拓日新能,10.07
86,昨日连板_含一字,BK1051,1916.15,-4.98,-0.26,296033472000,12.26,10,10,白银有色,10.03
87,反内卷概念,BK1197,1173.1,-3.01,-0.26,5508089856000,2.8,75,79,拓日新能,10.07
88,化工原料,BK0512,30249.6,-85.27,-0.28,1709861344000,3.62,34,42,澄星股份,10.01
89,代糖概念,BK0938,1197.05,-3.35,-0.28,168610734000,3.48,7,8,莱茵生物,9.05
90,2025中报扭亏,BK1196,1211.93,-3.62,-0.3,2226261232000,4.31,72,113,天奇股份,9.98
91,民爆概念,BK1066,1794.92,-5.98,-0.33,292675232000,2.88,6,13,晓程科技,20.01
92,MSCI中国,BK0821,1567.48,-5.32,-0.34,79313981440000,1.49,231,305,明阳智能,10.02
93,社保重仓,BK0520,14624.98,-53.14,-0.36,315445936000,2.15,8,12,中曼石油,9.99
94,昨日连板,BK0816,2698.86,-9.77,-0.36,215547525000,9.85,7,8,白银有色,10.03
95,医疗器械概念,BK0668,4831.67,-18.1,-0.37,5435914496000,3.86,127,198,达安基因,10.05
96,IPv6,BK0897,1551.36,-5.77,-0.37,648427952000,3.04,2,11,网宿科技,20.03
97,参股银行,BK0525,13332.78,-51.29,-0.38,12574414336000,1.53,82,134,钒钛股份,10.13
98,深证100R,BK0743,1378.8,-5.26,-0.38,16386012672000,1.75,44,56,智飞生物,14.87
99,垃圾分类,BK0873,1797.72,-7.17,-0.4,984437440000,3.23,42,56,天奇股份,9.98
100,CRO,BK0899,2000.71,-8.02,-0.4,755476384000,3.61,16,23,昊帆生物,7.26
101,低碳冶金,BK0979,1146.75,-4.76,-0.41,347323584000,2.01,6,2,中国中冶,3.5
102,土壤修复,BK1070,1047.85,-4.37,-0.42,244455520000,2.97,16,18,卓锦股份,6.51
103,东北振兴,BK0838,1312.46,-5.85,-0.44,815460016000,3.21,21,33,锌业股份,9.97
104,央视50_,BK0610,2550.31,-11.15,-0.44,16233392896000,0.6,22,27,中天科技,5.86
105,标准普尔,BK0879,1888.87,-8.7,-0.46,67770669824000,1.87,413,605,湖南黄金,10.01
106,土地流转,BK0632,1993.27,-9.33,-0.47,526325760000,4.53,20,24,洲际油气,10.0
107,B股,BK0636,961.2,-4.54,-0.47,686817552000,0.27,20,52,江  铃Ｂ,3.26
108,工程机械概念,BK0991,1942.57,-9.58,-0.49,1314095648000,3.37,18,38,运机集团,10.01
109,北交所概念,BK0925,2216.93,-11.31,-0.51,351989616000,4.46,9,15,华邦健康,4.07
110,2025三季报扭亏,BK1628,1050.75,-5.56,-0.53,145407375000,2.53,4,7,中稀有色,7.36
111,AI制药（医疗）,BK1170,1568.91,-8.36,-0.53,769596400000,6.81,20,38,光正眼科,10.02
112,ST股,BK0511,7692.34,-40.99,-0.53,852015264000,2.34,73,99,ST纳川,7.17
113,发电机概念,BK1014,2023.69,-11.12,-0.55,191722180000,5.93,6,15,动力新科,6.95
114,光通信模块,BK1136,2662.72,-14.79,-0.55,2809613440000,6.77,28,44,长飞光纤,10.0
115,股权转让,BK0803,830.99,-4.82,-0.58,225051436000,3.4,13,27,科华生物,9.97
116,一带一路,BK0712,1802.17,-10.8,-0.6,17507211008000,2.05,175,317,运机集团,10.01
117,注册制次新股,BK0971,805.87,-4.97,-0.61,2362286384000,8.33,29,54,永杰新材,10.01
118,预制菜概念,BK1025,1253.4,-8.23,-0.65,686201024000,2.98,24,36,唐人神,5.13
119,2025中报预增,BK1194,1273.7,-8.32,-0.65,14340917248000,3.09,154,277,湖南黄金,10.01
120,富时罗素,BK0867,1981.69,-12.88,-0.65,75710500864000,2.07,469,786,湖南黄金,10.01
121,装配建筑,BK0945,1221.45,-8.1,-0.66,1510182848000,2.95,28,58,光正眼科,10.02
122,AB股,BK0498,12836.52,-88.33,-0.68,1415359376000,1.78,23,46,动力新科,6.95
123,智谱AI,BK1182,1463.96,-10.09,-0.68,536499680000,9.13,10,25,优刻得-W,19.99
124,央国企改革,BK0683,5478.12,-38.25,-0.69,54291724288000,1.95,520,856,湖南黄金,10.01
125,海南自贸,BK1193,1204.67,-8.41,-0.69,1400996528000,3.46,28,54,中钨高新,10.01
126,Kimi概念,BK1169,1461.28,-10.18,-0.69,562079504000,10.51,5,11,浙文互联,10.04
127,食品安全,BK0614,8286.42,-57.29,-0.69,481047568000,4.13,19,30,达安基因,10.05
128,PPP模式,BK0721,879.4,-6.18,-0.7,2501404160000,2.67,51,92,光正眼科,10.02
129,虚拟电厂,BK0958,2517.17,-18.1,-0.71,917704576000,3.81,18,45,艾罗能源,8.69
130,微盘股,BK1158,3752.04,-26.95,-0.71,1018105600000,3.92,105,283,百达精工,10.02
131,西部大开发,BK0590,3866.04,-28.08,-0.72,13995108096000,3.36,213,372,金徽股份,10.02
132,乡村振兴,BK0834,1788.91,-12.9,-0.72,1750122272000,3.25,50,85,苏州高新,10.06
133,水产养殖,BK0967,1039.02,-7.54,-0.72,250413731000,3.83,5,10,蔚蓝生物,2.91
134,成渝特区,BK0534,24288.03,-179.61,-0.73,2448114896000,2.99,25,56,钒钛股份,10.13
135,风能,BK0595,2865.47,-21.39,-0.74,8692783872000,2.64,69,152,天奇股份,9.98
136,次新股,BK0501,31079.12,-232.19,-0.74,2497557088000,8.58,38,73,永杰新材,10.01
137,茅指数,BK0999,801.76,-5.96,-0.74,13672850432000,1.71,11,31,智飞生物,14.87
138,调味品概念,BK1026,1075.88,-8.14,-0.75,699200128000,2.02,14,17,冠农股份,3.57
139,白酒,BK0896,2218.41,-17.19,-0.77,3109661632000,2.66,16,31,群兴玩具,9.97
140,特高压,BK0918,2836.79,-22.37,-0.78,1805855168000,6.4,27,56,亨通光电,9.15
141,快手概念,BK0972,2002.69,-15.77,-0.78,419752576000,14.88,10,21,浙文互联,10.04
142,PVDF概念,BK1012,1302.9,-10.4,-0.79,482545824000,3.44,5,11,黑猫股份,4.16
143,数字阅读,BK0959,1720.48,-13.85,-0.8,206055720000,3.04,4,15,世纪恒通,4.37
144,算力概念,BK1134,1998.72,-16.21,-0.8,10026564608000,3.35,52,123,大位科技,10.02
145,钠离子电池,BK0988,1942.49,-15.87,-0.81,2791784416000,3.61,18,44,天永智能,10.01
146,IPO受益,BK0697,3698.76,-30.32,-0.81,2637974096000,2.47,16,35,汉缆股份,3.87
147,化妆品概念,BK0974,1434.5,-11.72,-0.81,738802576000,3.0,22,36,联环药业,5.64
148,抽水蓄能,BK1003,1808.39,-15.05,-0.83,1081555200000,3.12,11,20,申菱环境,2.07
149,F5G概念,BK1088,3976.23,-33.3,-0.83,1343428848000,3.28,8,17,亨通光电,9.15
150,创业成份,BK0638,2543.04,-21.42,-0.84,9159891712000,4.87,31,69,网宿科技,20.03
151,雅下水电概念,BK1192,1434.72,-12.16,-0.84,2069252768000,2.59,19,35,浙矿股份,15.36
152,上证380,BK0705,3149.28,-26.77,-0.84,12124495872000,2.68,128,237,明阳智能,10.02
153,地热能,BK0622,4949.54,-42.39,-0.85,89191731000,4.27,3,5,中材节能,1.37
154,TOPCon电池,BK1097,1041.1,-9.03,-0.86,787404352000,7.04,14,29,百达精工,10.02
155,2025三季报预增,BK1198,1170.84,-10.39,-0.88,4230301520000,3.53,29,61,山东黄金,9.94
156,参股券商,BK0514,16591.98,-150.92,-0.9,4513458688000,2.53,41,85,中国中铁,9.23
157,化债(AMC)概念,BK0980,1297.03,-11.77,-0.9,1209742800000,3.26,15,40,中金黄金,10.0
158,参股新三板,BK0600,3390.34,-30.91,-0.9,1788105184000,4.96,33,70,达安基因,10.05
159,中证500,BK0701,2750.93,-25.6,-0.92,19871244800000,3.13,171,316,湖南黄金,10.01
160,云计算,BK0579,4000.69,-37.72,-0.93,10211463936000,3.96,66,164,大位科技,10.02
161,互联金融,BK0637,5762.78,-53.86,-0.93,20907931392000,0.89,69,121,苏州高新,10.06
162,养老金,BK0823,1837.87,-17.18,-0.93,3855009728000,2.9,61,113,明阳智能,10.02
163,超级品牌,BK0811,2314.45,-21.87,-0.94,7603382528000,1.34,13,19,金龙鱼,1.34
164,新型城镇化,BK1080,1195.56,-11.4,-0.94,536507408000,3.32,25,71,苏州高新,10.06
165,HIT电池,BK0908,3313.53,-31.57,-0.94,897537488000,7.4,15,24,明阳智能,10.02
166,低价股,BK1053,1253.47,-12.06,-0.95,1454192352000,2.33,27,82,ST纳川,7.17
167,节能环保,BK0494,15884.51,-154.57,-0.96,5481401344000,3.34,133,277,天奇股份,9.98
168,PCB,BK0877,3069.6,-29.6,-0.96,3080537552000,5.22,32,97,中钨高新,10.01
169,数据中心,BK0922,2276.45,-22.1,-0.96,8780833792000,3.7,70,182,福达合金,10.0
170,长江三角,BK0594,3223.83,-31.61,-0.97,10330284288000,3.26,128,276,天奇股份,9.98
171,新能源,BK0493,19677.16,-192.17,-0.97,7302309888000,3.27,62,148,拓日新能,10.07
172,贬值受益,BK0812,1878.03,-18.32,-0.97,4358726656000,3.27,51,128,湖南黄金,10.01
173,快递概念,BK0990,1231.2,-12.16,-0.98,646150256000,2.55,12,28,长江投资,4.57
174,内贸流通,BK1001,1486.08,-14.76,-0.98,1566071984000,3.4,46,112,中国黄金,9.98
175,参股保险,BK0604,2986.96,-29.81,-0.99,6521048320000,1.13,22,52,南山铝业,8.26
176,婴童概念,BK0664,1955.73,-19.47,-0.99,1419240848000,3.24,44,106,博晖创新,10.62
177,小红书概念,BK1187,1523.88,-15.2,-0.99,686798032000,9.13,19,53,天地在线,9.99
178,京津冀,BK0684,2048.35,-20.59,-1.0,811305248000,3.69,18,38,京能置业,9.94
179,举牌,BK0685,3165.0,-31.86,-1.0,116695453000,0.52,1,3,塔牌集团,0.83
180,深成500,BK0568,1537.69,-15.61,-1.0,29884756480000,3.13,154,335,湖南黄金,10.01
181,太阳能,BK0588,4396.06,-45.32,-1.02,9881065472000,3.87,119,288,天奇股份,9.98
182,超导概念,BK0679,7412.15,-77.32,-1.03,462582672000,7.62,7,11,沃尔核材,6.04
183,熔盐储能,BK1103,1236.89,-13.05,-1.04,106496066000,2.93,2,8,百川畅银,1.07
184,电子竞技,BK0853,1650.74,-17.42,-1.04,2946027056000,3.21,7,27,浙文互联,10.04
185,机构重仓,BK0552,18999.21,-200.99,-1.05,51317616128000,1.63,361,742,苏州高新,10.06
186,粤港自贸,BK0677,3646.58,-38.75,-1.05,1134795936000,2.99,23,50,越秀资本,5.03
187,沪股通,BK0707,2726.18,-29.07,-1.06,75826921472000,1.74,520,986,明阳智能,10.02
188,净水概念,BK1068,1305.35,-14.16,-1.07,1134678656000,1.41,5,16,中晟高科,2.01
189,储能,BK0989,2523.0,-27.63,-1.08,11511959040000,3.63,107,302,拓日新能,10.07
190,钙钛矿电池,BK1094,1123.18,-12.26,-1.08,778853024000,5.92,9,30,拓日新能,10.07
191,中俄贸易概念,BK1072,1912.33,-21.09,-1.09,775665008000,2.76,22,56,华通线缆,7.45
192,氢能源,BK0864,1658.08,-18.29,-1.09,6034597632000,3.01,64,180,明阳智能,10.02
193,互联医疗,BK0837,1212.61,-13.43,-1.1,4821099520000,3.85,37,60,以岭药业,7.9
194,2025中报预减,BK1195,1168.9,-13.09,-1.11,2480317040000,3.23,59,140,鲁抗医药,10.0
195,建筑节能,BK1076,1227.47,-13.85,-1.12,271857936000,5.03,12,33,红 宝 丽,9.99
196,雄安新区,BK0813,1124.15,-12.74,-1.12,2671551792000,2.95,42,102,科林电气,7.89
197,养老概念,BK0653,3176.13,-36.16,-1.13,3373710256000,3.05,33,89,以岭药业,7.9
198,进口博览,BK0850,1108.77,-12.71,-1.13,294716160000,1.58,3,13,兰生股份,1.45
199,网红经济,BK0940,851.31,-9.86,-1.14,1908977152000,5.15,29,103,天地在线,9.99
200,娃哈哈概念,BK1165,1788.72,-20.56,-1.14,154676346000,2.22,4,15,大胜达,4.32
201,碳交易,BK0966,1981.93,-23.02,-1.15,2972018736000,2.17,39,92,广汇能源,5.73
202,液冷概念,BK1138,1931.73,-22.61,-1.16,5485389312000,5.07,32,92,网宿科技,20.03
203,融资融券,BK0596,3421.71,-40.54,-1.17,119750197248000,2.48,1115,2601,天奇股份,9.98
204,海工装备,BK0601,2548.37,-30.1,-1.17,2000083104000,4.6,25,51,长飞光纤,10.0
205,转债标的,BK0528,13461.27,-160.67,-1.18,7507606272000,2.82,117,262,运机集团,10.01
206,人造肉,BK0866,1210.47,-14.62,-1.19,191107227000,3.47,6,12,*ST四环,4.01
207,WiFi,BK0915,1645.26,-19.77,-1.19,781900144000,2.71,10,21,锐捷网络,12.96
208,深股通,BK0804,1381.71,-16.66,-1.19,43170280448000,4.06,480,1223,天奇股份,9.98
209,托育服务,BK1074,972.5,-11.77,-1.2,39479838000,7.29,1,5,ST易联众,0.66
210,尾气治理,BK0932,2098.42,-26.17,-1.23,352197200000,6.08,8,26,贵研铂业,5.02
211,海绵城市,BK0724,1156.58,-14.53,-1.24,328582160000,4.45,11,24,ST纳川,7.17
212,冷链物流,BK0852,2384.77,-29.83,-1.24,1936305504000,2.87,34,80,海王生物,9.95
213,氟化工,BK0690,5899.67,-73.91,-1.24,1116253216000,3.94,11,23,滨化股份,4.02
214,核能核电,BK0577,3158.29,-40.42,-1.26,4760473856000,2.92,48,139,拓日新能,10.07
215,虚拟数字人,BK1055,1562.77,-20.09,-1.27,3496276752000,8.04,15,69,天地在线,9.99
216,碳化硅,BK0977,2069.17,-26.61,-1.27,1222889488000,6.01,12,33,长飞光纤,10.0
217,沪企改革,BK0672,3121.16,-40.04,-1.27,1000144352000,1.88,11,29,长江投资,4.57
218,REITs概念,BK0992,877.93,-11.3,-1.27,777065744000,2.22,7,17,中国铁建,1.35
219,谷子经济,BK1183,1292.09,-16.78,-1.28,708534544000,4.57,20,55,顺网科技,11.18
220,铁路基建,BK0592,3154.53,-41.65,-1.3,3202804848000,2.4,33,87,中国中铁,9.23
221,股权激励,BK0567,4016.26,-53.07,-1.3,5678068992000,3.81,49,160,网宿科技,20.03
222,创投,BK0506,19940.63,-264.68,-1.31,5686149120000,3.72,70,210,达安基因,10.05
223,电商概念,BK0665,2545.95,-33.94,-1.32,6628743936000,3.45,78,257,天地在线,9.99
224,地摊经济,BK0924,2291.76,-31.38,-1.35,601113312000,2.83,5,24,久量股份,13.26
225,统一大市场,BK1077,1483.69,-20.37,-1.35,445097168000,2.72,11,30,瑞康医药,5.01
226,QFII重仓,BK0535,24585.77,-336.69,-1.35,4842004224000,4.29,77,247,崇德科技,20.01
227,抖音小店,BK0928,1456.17,-19.93,-1.35,268719792000,2.81,6,22,天地在线,9.99
228,社区团购,BK0965,1020.29,-14.2,-1.37,590211344000,3.07,7,30,宏辉果蔬,3.4
229,智能电网,BK0581,2387.84,-33.28,-1.37,2798896688000,6.64,44,143,福达合金,10.0
230,新材料,BK0523,40539.02,-566.31,-1.38,7265659392000,5.35,97,277,福达合金,10.0
231,水利建设,BK0597,2232.07,-31.41,-1.39,2353250416000,3.55,27,76,苏州高新,10.06
232,数字水印,BK1129,1227.88,-17.3,-1.39,129687876000,5.16,4,14,大胜达,4.32
233,蚂蚁概念,BK0937,900.17,-12.78,-1.4,6212226560000,1.23,15,45,协鑫集成,9.87
234,新零售,BK0825,1157.19,-16.48,-1.4,2563385104000,2.8,34,117,曼卡龙,10.32
235,阿里概念,BK0689,3160.73,-45.49,-1.42,5488446208000,4.21,35,126,浙文互联,10.04
236,并购重组概念,BK1181,1397.96,-20.17,-1.42,2669709456000,2.92,25,71,福达合金,10.0
237,创业板综,BK0742,2120.28,-30.81,-1.43,18932013056000,6.11,323,1012,崇德科技,20.01
238,苹果概念,BK0666,4819.03,-69.77,-1.43,4575557376000,3.45,25,101,永杰新材,10.01
239,抖音概念(字节概念),BK0923,1732.75,-25.4,-1.44,2003553712000,9.6,17,70,天地在线,9.99
240,数据确权,BK1118,1792.22,-26.34,-1.45,311742400000,6.56,5,27,顺网科技,11.18
241,深圳特区,BK0549,41712.49,-611.69,-1.45,11355264768000,2.75,76,267,拓日新能,10.07
242,锂电池,BK0574,4632.7,-68.7,-1.46,11302172672000,4.57,91,311,天奇股份,9.98
243,海洋经济,BK0623,3768.47,-55.78,-1.46,2171648768000,3.74,29,73,泽润新能,19.8
244,短剧互动游戏,BK1151,1530.13,-22.72,-1.46,635399008000,8.84,7,26,浙文互联,10.04
245,首发经济,BK1186,1237.86,-18.48,-1.47,409722736000,5.65,7,34,顺网科技,11.18
246,ETC,BK0875,2114.22,-31.77,-1.48,451336128000,4.01,12,31,易事特,6.4
247,固态电池,BK0968,2631.49,-39.47,-1.48,7621503488000,3.85,46,175,天永智能,10.01
248,科创板做市股,BK1108,1403.76,-21.05,-1.48,2436014832000,2.81,10,35,中控技术,12.98
249,刀片电池,BK0951,3329.08,-51.19,-1.51,1046980704000,5.33,2,10,鹏辉能源,3.77
250,滨海新区,BK0566,11308.45,-175.18,-1.53,232420789000,3.3,7,14,金开新能,3.6
251,有机硅,BK0961,1980.22,-30.72,-1.53,500915328000,3.86,7,28,金银河,5.95
252,上海自贸,BK0643,4023.4,-62.66,-1.53,1044434528000,1.75,9,25,芯原股份,7.36
253,地下管网,BK1058,1325.14,-20.73,-1.54,432134288000,3.0,14,33,ST纳川,7.17
254,充电桩,BK0700,3391.51,-53.2,-1.54,5349871616000,4.81,55,197,福达合金,10.0
255,百度概念,BK0845,2055.81,-32.42,-1.55,3690716432000,6.09,36,110,天地在线,9.99
256,影视概念,BK0847,1124.56,-17.74,-1.55,697474208000,4.04,12,51,博纳影业,4.72
257,独角兽,BK0835,2379.5,-37.44,-1.55,5277839104000,3.66,22,81,厦门钨业,9.97
258,边缘计算,BK0860,2452.85,-38.55,-1.55,3381120496000,3.12,32,94,大位科技,10.02
259,宁组合,BK1000,674.95,-10.71,-1.56,5087238656000,3.03,4,20,福斯特,3.24
260,英伟达概念,BK1161,2074.13,-33.31,-1.58,2884487328000,3.43,15,41,顺网科技,11.18
261,空间计算,BK1143,1549.59,-25.18,-1.6,163723657000,5.31,6,18,华是科技,4.93
262,AI智能体,BK0809,1426.94,-23.15,-1.6,2176976480000,7.04,24,108,凯普生物,20.03
263,麒麟电池,BK1092,2016.91,-33.94,-1.65,1692630224000,3.66,2,6,飞荣达,2.88
264,换电概念,BK0985,1837.34,-31.43,-1.68,917148064000,2.94,8,34,博众精工,5.5
265,工业互联,BK0832,2914.52,-49.83,-1.68,6002518528000,3.7,40,158,长飞光纤,10.0
266,DeepSeek概念,BK1188,1521.06,-25.99,-1.68,4783826176000,5.24,42,201,运机集团,10.01
267,Web3.0,BK1110,2245.42,-38.93,-1.7,621246128000,8.38,8,40,天地在线,9.99
268,石墨烯,BK0617,2865.42,-49.5,-1.7,1061832064000,4.61,12,57,斯迪克,13.93
269,区块链,BK0830,1319.39,-22.89,-1.71,9984879616000,2.33,48,182,群兴玩具,9.97
270,网络游戏,BK0509,15759.31,-274.38,-1.71,1343427440000,5.31,15,51,卧龙新能,9.97
271,基金重仓,BK0536,14320.4,-249.29,-1.71,8927874560000,2.94,18,49,芯原股份,7.36
272,在线教育,BK0662,2424.99,-42.29,-1.71,1709570176000,5.48,19,95,网宿科技,20.03
