排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
63,航空机场,BK0420,5479.51,-68.41,-1.23,848267936000,1.02,3,9,深圳机场,1.26
64,风电设备,BK1032,1713.54,-22.42,-1.29,579303552000,4.27,5,27,大金重工,5.19
65,汽车整车,BK1029,1828.32,-24.28,-1.31,2108056224000,1.54,7,19,中国重汽,3.71
66,软件开发,BK0737,1394.08,-19.02,-1.35,2763464400000,3.86,27,165,英方软件,17.77
67,家电行业,BK0456,26000.75,-357.43,-1.36,2076550752000,2.02,12,73,三星新材,8.28
68,电机,BK1030,2833.55,-39.82,-1.39,336508944000,4.34,5,23,中电电机,10.01
69,文化传媒,BK0486,11972.23,-170.39,-1.4,1236731536000,4.65,22,75,省广集团,4.9
70,仪器仪表,BK0458,21309.18,-310.86,-1.44,443821392000,3.0,11,66,海川智能,6.63
71,塑料制品,BK0454,21302.93,-318.25,-1.47,661563200000,4.22,11,76,利安科技,5.43
72,通用设备,BK0545,53511.36,-844.25,-1.55,1932171056000,4.07,44,175,巨力索具,9.99
73,中药,BK1040,1450.38,-23.5,-1.59,851872240000,1.88,7,59,粤万年青,1.84
74,化学制药,BK0465,38920.73,-636.11,-1.61,2086071664000,2.19,22,125,广生堂,14.0
75,电池,BK1033,1491.86,-24.77,-1.63,2925675984000,2.73,11,64,金银河,7.09
76,医药商业,BK1042,1309.44,-22.16,-1.66,370700720000,3.44,5,24,中国医药,2.28
77,汽车零部件,BK0481,54785.45,-950.41,-1.71,2770000704000,3.3,23,212,星宇股份,10.0
78,教育,BK0740,732.68,-12.79,-1.72,88494608000,4.21,2,13,昂立教育,1.12
79,工程咨询服务,BK0726,908.0,-16.98,-1.84,215475098000,2.48,5,39,中国瑞林,4.83
80,美容护理,BK1035,1093.45,-23.39,-2.09,283386304000,2.05,1,26,力合科创,0.54
81,装修装饰,BK0725,903.53,-19.81,-2.15,228847769000,2.55,8,30,罗曼股份,7.67
82,航天航空,BK0480,69038.41,-1681.64,-2.38,1508639664000,3.97,3,42,纵横股份,2.65
83,生物制品,BK1044,1119.76,-28.31,-2.47,1639749456000,2.18,6,69,康华生物,3.02
84,医疗服务,BK0727,1406.86,-35.72,-2.48,899684384000,2.91,2,43,阳光诺和,1.15
85,医疗器械,BK1041,1068.47,-27.82,-2.54,1423156288000,3.74,5,120,华兰股份,1.87
86,光伏设备,BK1031,1588.8,-42.97,-2.63,1921901248000,6.26,11,67,双良节能,9.08
